1654425815.017083,97.9
1654425815.037076,88.7
1654425815.057083,79.9
1654425815.077027,84.5
1654425815.097107,98.1
1654425815.117102,103.4
1654425815.137042,96.0
1654425815.15701,67.0
1654425815.176986,73.6
1654425815.197111,71.7
1654425815.217094,70.6
1654425815.237105,62.9
1654425815.257008,68.4
1654425815.276992,64.3
1654425815.297117,64.0
1654425815.317118,65.4
1654425815.337092,83.1
1654425815.357007,80.5
1654425815.377016,62.5
1654425815.397019,66.9
1654425815.417121,67.8
1654425815.437122,68.7
1654425815.457032,67.1
1654425815.477025,73.4
1654425815.497115,80.0
1654425815.51717,65.4
1654425815.537158,65.6
1654425815.557243,66.5
1654425815.57704,66.2
1654425815.597097,61.5
1654425815.617192,65.5
1654425815.637127,61.7
1654425815.657161,63.4
1654425815.677026,63.8
1654425815.697026,65.0
1654425815.717118,67.4
1654425815.737114,67.4
1654425815.757158,66.4
1654425815.777046,66.3
1654425815.797016,65.6
1654425815.817158,62.8
1654425815.837303,61.8
1654425815.857137,64.0
1654425815.877113,64.2
1654425815.897031,62.4
1654425815.917247,67.9
1654425815.93722,64.6
1654425815.957202,66.1
1654425815.977162,66.3
1654425815.997114,61.6
1654425816.01705,66.0
1654425816.036954,62.9
1654425816.05712,63.0
1654425816.077164,64.4
1654425816.097109,66.4
1654425816.117044,65.7
1654425816.136953,66.0
1654425816.157197,62.6
1654425816.177042,65.1
1654425816.197036,64.1
1654425816.217045,61.4
1654425816.237019,64.2
1654425816.257148,65.1
1654425816.277182,62.5
1654425816.297026,65.1
1654425816.317044,69.2
1654425816.33704,66.4
1654425816.357147,74.5
1654425816.377117,67.8
1654425816.397046,67.9
1654425816.41705,65.0
1654425816.436993,68.0
1654425816.45697,64.2
1654425816.477183,72.9
1654425816.497101,77.1
1654425816.517063,58.9
1654425816.536998,70.6
1654425816.556971,69.6
1654425816.577104,62.3
1654425816.597155,69.2
1654425816.617016,61.0
1654425816.637058,64.1
1654425816.657068,61.0
1654425816.677036,65.7
1654425816.697145,62.9
1654425816.717054,63.4
1654425816.737057,64.3
1654425816.757122,69.1
1654425816.776928,61.3
1654425816.797165,64.0
1654425816.817079,66.6
1654425816.837124,64.4
1654425816.85712,63.8
1654425816.87702,79.0
1654425816.897148,75.6
1654425816.917216,64.8
1654425816.937094,65.1
1654425816.957199,63.2
1654425816.976973,62.9
1654425816.997113,62.6
1654425817.017125,62.8
1654425817.037161,64.6
1654425817.057162,63.5
1654425817.077085,64.8
1654425817.096998,65.2
1654425817.11717,65.2
1654425817.137057,63.9
1654425817.157087,64.7
1654425817.176978,64.7
1654425817.196982,61.8
1654425817.217081,64.0
1654425817.237084,65.6
1654425817.257084,67.5
1654425817.276981,62.4
1654425817.297009,65.1
1654425817.316974,61.5
1654425817.33707,64.6
1654425817.357097,62.0
1654425817.3771,69.9
1654425817.397031,84.1
1654425817.416961,63.5
1654425817.43711,69.4
1654425817.457242,65.5
1654425817.477101,75.9
1654425817.497011,77.1
1654425817.517032,64.8
1654425817.537112,67.6
1654425817.557153,67.9
1654425817.577099,75.9
1654425817.596958,65.5
1654425817.616969,73.3
1654425817.636957,65.2
1654425817.657065,63.9
1654425817.677124,68.8
1654425817.697014,83.4
1654425817.716971,79.9
1654425817.737002,62.0
1654425817.75713,60.7
1654425817.777177,63.9
1654425817.79702,80.0
1654425817.81698,70.8
1654425817.836997,63.0
1654425817.857086,60.8
1654425817.877133,62.4
1654425817.89717,80.3
1654425817.917041,81.6
1654425817.936991,56.8
1654425817.95694,63.0
1654425817.977095,62.4
1654425817.997188,76.9
1654425818.017174,72.8
1654425818.036988,60.6
1654425818.057135,64.6
1654425818.077144,64.8
1654425818.097134,62.2
1654425818.117035,63.8
1654425818.13706,61.3
1654425818.157029,62.9
1654425818.177119,62.4
1654425818.197046,63.7
1654425818.217034,61.4
1654425818.237019,63.4
1654425818.257028,62.4
1654425818.276976,63.0
1654425818.297037,63.9
1654425818.31703,60.4
1654425818.337017,62.7
1654425818.356968,61.8
1654425818.376948,61.8
1654425818.397111,65.1
1654425818.417006,64.2
1654425818.437003,63.6
1654425818.457003,60.3
1654425818.476928,65.4
1654425818.537038,61.8
1654425818.556983,62.6
1654425818.576932,62.2
1654425818.596922,63.0
1654425818.617048,62.5
1654425818.637034,63.8
1654425818.657002,61.6
1654425818.676944,64.2
1654425818.696899,63.4
1654425818.717124,61.0
1654425818.73704,61.8
1654425818.757004,62.3
1654425818.777085,61.9
1654425818.796905,64.6
1654425818.817176,62.9
1654425818.837102,61.9
1654425818.857025,61.3
1654425818.877013,62.1
1654425818.897022,63.2
1654425818.917014,72.3
1654425818.93703,84.8
1654425818.957113,61.3
1654425818.977024,62.5
1654425818.996958,63.7
1654425819.017001,62.6
1654425819.037074,62.9
1654425819.057111,62.4
1654425819.07706,64.5
1654425819.096937,63.5
1654425819.116969,61.9
1654425819.137078,63.7
1654425819.157116,60.8
1654425819.177019,66.0
1654425819.197024,63.3
1654425819.216988,60.2
1654425819.23707,61.2
1654425819.25703,62.6
1654425819.27715,62.3
1654425819.296938,75.8
1654425819.316961,86.8
1654425819.336988,63.8
1654425819.357048,61.5
1654425819.377032,62.8
1654425819.396937,62.3
1654425819.416948,62.9
1654425819.436955,63.5
1654425819.457062,62.5
1654425819.477105,75.2
1654425819.497114,85.7
1654425819.516974,63.0
1654425819.536998,64.4
1654425819.556857,79.4
1654425819.577094,59.6
1654425819.597002,62.3
1654425819.617058,61.2
1654425819.637081,62.6
1654425819.656926,62.4
1654425819.677097,63.7
1654425819.697213,62.9
